Unnamed: 0;genre;track_id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
1111;groove;5xl5582IihbEZAnfj0xyso;0.769;0.826;7;-8.252;1;0.0624;0.268;0.0186;0.0684;0.762;95.863;audio_features;5xl5582IihbEZAnfj0xyso;spotify:track:5xl5582IihbEZAnfj0xyso;https://api.spotify.com/v1/tracks/5xl5582IihbEZAnfj0xyso;https://api.spotify.com/v1/audio-analysis/5xl5582IihbEZAnfj0xyso;251467;4
1112;groove;6vQN2a9QSgWcm74KEZYfDL;0.685;0.685;11;-8.103;1;0.0254;0.173;0;0.201;0.925;106.987;audio_features;6vQN2a9QSgWcm74KEZYfDL;spotify:track:6vQN2a9QSgWcm74KEZYfDL;https://api.spotify.com/v1/tracks/6vQN2a9QSgWcm74KEZYfDL;https://api.spotify.com/v1/audio-analysis/6vQN2a9QSgWcm74KEZYfDL;243933;4
1113;grunge;50oRMnlHTZOV74wTNGV0DS;0.459;0.904;0;-5.411;1;0.0726;0.000172;2.67E-06;0.224;0.586;164.252;audio_features;50oRMnlHTZOV74wTNGV0DS;spotify:track:50oRMnlHTZOV74wTNGV0DS;https://api.spotify.com/v1/tracks/50oRMnlHTZOV74wTNGV0DS;https://api.spotify.com/v1/audio-analysis/50oRMnlHTZOV74wTNGV0DS;182533;4
1114;grunge;5oowXVNXkPcfZHWy8fh1Nc;0.268;0.789;0;-11.035;1;0.0367;2.64E-05;0.119;0.185;0.865;186.202;audio_features;5oowXVNXkPcfZHWy8fh1Nc;spotify:track:5oowXVNXkPcfZHWy8fh1Nc;https://api.spotify.com/v1/tracks/5oowXVNXkPcfZHWy8fh1Nc;https://api.spotify.com/v1/audio-analysis/5oowXVNXkPcfZHWy8fh1Nc;246360;3
1115;grunge;3oVSsJXNADnYAnZWiEWFJH;0.795;0.706;7;-7.494;1;0.101;0.0172;0.000384;0.326;0.623;95.593;audio_features;3oVSsJXNADnYAnZWiEWFJH;spotify:track:3oVSsJXNADnYAnZWiEWFJH;https://api.spotify.com/v1/tracks/3oVSsJXNADnYAnZWiEWFJH;https://api.spotify.com/v1/audio-analysis/3oVSsJXNADnYAnZWiEWFJH;171067;4
1116;grunge;6DQPcNxGyUmrNJncjdoDhc;0.375;0.822;1;-8.552;1;0.0402;2.08E-05;0.0031;0.0594;0.545;128.276;audio_features;6DQPcNxGyUmrNJncjdoDhc;spotify:track:6DQPcNxGyUmrNJncjdoDhc;https://api.spotify.com/v1/tracks/6DQPcNxGyUmrNJncjdoDhc;https://api.spotify.com/v1/audio-analysis/6DQPcNxGyUmrNJncjdoDhc;205107;4
1117;grunge;358XBWJ3pa71P4U89v393N;0.414;0.822;8;-8.972;0;0.0597;7.98E-05;1.78E-06;0.402;0.747;113.363;audio_features;358XBWJ3pa71P4U89v393N;spotify:track:358XBWJ3pa71P4U89v393N;https://api.spotify.com/v1/tracks/358XBWJ3pa71P4U89v393N;https://api.spotify.com/v1/audio-analysis/358XBWJ3pa71P4U89v393N;262360;4
1118;grunge;3eB4YDcvr8Z4WNc1oRK3cS;0.479;0.378;2;-14.173;1;0.0421;0.638;0.31;0.11;0.52;200.538;audio_features;3eB4YDcvr8Z4WNc1oRK3cS;spotify:track:3eB4YDcvr8Z4WNc1oRK3cS;https://api.spotify.com/v1/tracks/3eB4YDcvr8Z4WNc1oRK3cS;https://api.spotify.com/v1/audio-analysis/3eB4YDcvr8Z4WNc1oRK3cS;276560;4
1119;grunge;6AZg0e6Hq9s8a10jnQC8PS;0.525;0.283;0;-13.915;1;0.0266;0.721;0.14;0.113;0.0791;110.166;audio_features;6AZg0e6Hq9s8a10jnQC8PS;spotify:track:6AZg0e6Hq9s8a10jnQC8PS;https://api.spotify.com/v1/tracks/6AZg0e6Hq9s8a10jnQC8PS;https://api.spotify.com/v1/audio-analysis/6AZg0e6Hq9s8a10jnQC8PS;225747;4
1120;grunge;6PqeHOPNqpAXvZQq1tSB89;0.363;0.322;0;-11.539;1;0.0384;0.0133;0.581;0.105;0.208;121.427;audio_features;6PqeHOPNqpAXvZQq1tSB89;spotify:track:6PqeHOPNqpAXvZQq1tSB89;https://api.spotify.com/v1/tracks/6PqeHOPNqpAXvZQq1tSB89;https://api.spotify.com/v1/audio-analysis/6PqeHOPNqpAXvZQq1tSB89;267307;4
